analysis,metric,model,model_label,split,stage,side,peptide_balanced_mean,peptide_median,ci_low,ci_high,n_peptides,n_bootstrap,test_peptide_balanced_mean,test_ci_low,test_ci_high,immrep_peptide_balanced_mean,immrep_ci_low,immrep_ci_high,immrep_minus_test,immrep_minus_test_ci_low,immrep_minus_test_ci_high,immrep_div_test,immrep_div_test_ci_low,immrep_div_test_ci_high,n_peptides_test,n_peptides_immrep
unnormalised_mse,median_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,tcr,2.124966370435031,2.09997034103334,2.1048864790713466,2.144946130075894,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,tcr,5.440269364862934,5.315926723067839,5.389876673831371,5.489302631767755,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,tcr,0.9270337524109556,0.9287947937177499,0.9251881807383621,0.92887551314204,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,tcr,2.2028324759650255,2.1884301045375376,2.1867487030215087,2.2184701256464123,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,tcr,7.1692762360825695,7.1692762302566955,7.109607233122304,7.217011439615959,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,onehot_vicreg,One-hot + VICReg,immrep_test,input,tcr,0.2529513620641013,0.2529513620641013,0.25291810374684925,0.2529929349606663,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,onehot_vicreg,One-hot + VICReg,immrep_test,pre_expander,tcr,7.481570347833771,7.481570347191022,7.456928575882804,7.50621211978474,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,onehot_vicreg,One-hot + VICReg,test,final_latent,tcr,7.991007089211569,7.748094477234355,7.862269395004507,8.123234892896168,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,onehot_vicreg,One-hot + VICReg,test,input,tcr,0.2512700624377535,0.2509832525825888,0.2508624599551539,0.25170065578334855,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,onehot_vicreg,One-hot + VICReg,test,pre_expander,tcr,7.831689422972712,7.847353262589539,7.795620501769624,7.869151193659776,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,onehot_vicreg,One-hot + VICReg,train,final_latent,tcr,7.786590650684762,7.345378662702788,7.6638105621319985,7.913409670246034,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,onehot_vicreg,One-hot + VICReg,train,input,tcr,0.252429438818665,0.25132512800871926,0.25207543062103627,0.2528004216260631,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,onehot_vicreg,One-hot + VICReg,train,pre_expander,tcr,7.690778296309204,7.685303609119805,7.665722244567693,7.718766667473808,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,immrep_test,final_latent,tcr,5.028992479835365,5.028992475033435,4.952025284432833,5.105959680039828,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,immrep_test,input,tcr,0.7208816196980816,0.7208816196980816,0.7199161167091622,0.721847122687001,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,immrep_test,pre_expander,tcr,2.1248421256808867,2.124842125680887,2.1114657392689007,2.1382185120928727,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,test,final_latent,tcr,5.725909179791081,5.727138514398977,5.646027285859445,5.811738739851329,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,test,input,tcr,0.7337639879845711,0.7314163175648604,0.732113875002135,0.7354506940510138,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,test,pre_expander,tcr,1.8507558512870312,1.8418418564246501,1.83274532693037,1.868958288515091,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,train,final_latent,tcr,5.343493207238715,5.257457421053251,5.287412263545196,5.402449478744604,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,train,input,tcr,0.7302698185466513,0.7277983560873147,0.7289188192220997,0.7315371640285513,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,train,pre_expander,tcr,1.9131297578616668,1.8990848867307388,1.8981403343265018,1.928176508086546,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,onehot_vicreg,One-hot + VICReg,comparison_immrep_vs_test,input,tcr,,,,,,2000,0.2512700624377535,0.2508624599551539,0.25170065578334855,0.2529513620641013,0.25291810374684925,0.2529929349606663,0.0016812996263477764,0.0012508677795640979,0.0021382415563366494,1.0066912055102637,1.0049701437075742,1.0085252168441607,381.0,20.0
unnormalised_mse,median_latent_norm,onehot_vicreg,One-hot + VICReg,comparison_immrep_vs_test,pre_expander,tcr,,,,,,2000,7.831689422972712,7.795620501769624,7.869151193659776,7.481570347833771,7.456928575882804,7.50621211978474,-0.3501190751389407,-0.3985101298157317,-0.30584763203965165,0.9552945659321046,0.9493480497047339,0.9608348078216364,381.0,20.0
unnormalised_mse,median_latent_norm,onehot_vicreg,One-hot + VICReg,comparison_immrep_vs_test,final_latent,tcr,,,,,,2000,7.991007089211569,7.862269395004507,8.123234892896168,7.1692762360825695,7.109607233122304,7.217011439615959,-0.821730853129,-0.9718869332443808,-0.6826394825189127,0.8971680485381629,0.8805217560416051,0.9133638174163654,381.0,20.0
