seed,split,model_name,k,purity_mean,purity_std,random_purity_expected,purity_enrichment,entropy_mean,entropy_std
43,test,finetuned_esmc_vicreg,20,0.16348214285714288,0.19944436129545257,0.033931765908510096,4.81796742609678,2.044345337394427,0.5303720610459597
49,test,finetuned_esmc_vicreg,5,0.23178571428571432,0.2874587370566497,0.03393176590851009,6.830935793635852,1.1647629742743488,0.427232281886037
49,test,finetuned_esmc_vicreg,10,0.20339285714285715,0.2531358809704659,0.03393176590851009,5.994172472227453,1.5801748316557143,0.5172425843509888
49,test,finetuned_esmc_vicreg,20,0.1792857142857143,0.22286572785662048,0.03393176590851009,5.283713048390135,1.9664778395876665,0.5727177911957536
55,test,finetuned_esmc_vicreg,5,0.22678571428571428,0.3050708766760904,0.03393176590851009,6.6835812464695925,1.1661232832953226,0.47371228867374976
55,test,finetuned_esmc_vicreg,10,0.20232142857142857,0.2564419390666139,0.03393176590851009,5.962596497834683,1.6160270598613307,0.5322139411358969
55,test,finetuned_esmc_vicreg,20,0.17482142857142857,0.2116473741140857,0.03393176590851009,5.152146488420261,2.013638910987908,0.5648981304896777
31,val,onehot_composition,5,0.13118712273641853,0.2026315783247451,0.03783994288310508,3.466895368782162,1.367509383393791,0.3038697249662378
31,val,onehot_composition,10,0.09798792756539236,0.12217008238233543,0.03783994288310508,2.589536878216124,1.9301303136432553,0.22985132995530477
31,val,onehot_composition,20,0.07645875251509054,0.07618371584672413,0.03783994288310508,2.0205831903945115,2.4162503984824566,0.17418237780523865
37,val,onehot_composition,5,0.1380281690140845,0.21759277308925412,0.03783994288310508,3.6476843910806176,1.3474443572899273,0.3362357365906878
37,val,onehot_composition,10,0.10482897384305835,0.1384624571419271,0.03783994288310508,2.7703259005145804,1.9081370149498198,0.27942316849361726
37,val,onehot_composition,20,0.07937625754527164,0.0870498670637293,0.03783994288310508,2.097684391080618,2.3969890827950295,0.19369177611286212
43,val,onehot_composition,5,0.12515090543259558,0.198665637636837,0.03783994288310508,3.3073756432247006,1.3789160066943529,0.28334287577574363
43,val,onehot_composition,10,0.09557344064386318,0.12210644142327354,0.03783994288310508,2.5257289879931393,1.9476292360999283,0.22973717207128105
43,val,onehot_composition,20,0.07887323943661972,0.08152432348746938,0.03783994288310508,2.0843910806174963,2.4225775625539234,0.16582270422388115
49,val,onehot_composition,5,0.14366197183098592,0.2298741463529647,0.03783994288310508,3.796569468267582,1.3393714783870814,0.3528439751756064
49,val,onehot_composition,10,0.10985915492957746,0.15146295401956258,0.03783994288310508,2.903259005145798,1.898166095210016,0.28364724747837244
49,val,onehot_composition,20,0.08440643863179075,0.09986560283989784,0.03783994288310508,2.2306174957118357,2.385154959061025,0.2136546338302253
