model,model_label,split,stage,side,metric,peptide_balanced_mean,ci_low,ci_high,n_peptides
lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,pmhc,median_pairwise_cosine,0.016859751103762862,0.006648129943381841,0.029481728384016637,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,tcr,mean_latent_norm,2.202111810442807,2.185921893593763,2.217474708376769,925
lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,tcr,covariance_trace,3.0074036507635546,2.951614122127746,3.064996585070861,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,tcr,mean_var_per_dim,0.011747670510795135,0.011511853519182623,0.011970682747819658,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,tcr,median_pairwise_cosine,0.6339869063070516,0.6187558083507552,0.6496183257668802,568
onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,hla,mean_latent_norm,3.6199393686146903,3.329083731107553,3.910795006122671,20
onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,hla,covariance_trace,4.625542188961759e-16,2.3129515075648735e-16,7.420936628017091e-16,20
onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,hla,mean_var_per_dim,6.0071976480022855e-18,3.166356553107504e-18,9.599644668242413e-18,20
onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,hla,median_pairwise_cosine,-1.332267629550188e-16,-1.665334536937735e-16,-1.0658141036401502e-16,20
onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,peptide,mean_latent_norm,5.463256515385575,4.963229990697574,6.010615153243156,20
onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,peptide,covariance_trace,7.489957603943783e-16,4.0921663439486124e-16,1.1203178489471825e-15,20
onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,peptide,mean_var_per_dim,4.184333856951834e-18,2.299565696895528e-18,6.252858081107932e-18,20
onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,peptide,median_pairwise_cosine,-2.6645352591003762e-17,-5.773159728050813e-17,3.3306690738754703e-18,20
onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,pmhc,mean_latent_norm,6.710730976437668,6.273562135841303,7.158284112474963,20
onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,pmhc,covariance_trace,1.2115499792905543e-15,6.688727772537761e-16,1.8616704362949334e-15,20
onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,pmhc,mean_var_per_dim,4.7326171066037276e-18,2.7181977700413135e-18,7.285867475482724e-18,20
onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,pmhc,median_pairwise_cosine,-2.2204460492503132e-17,-4.9960036108132046e-17,-3.0044507132445084e-34,20
onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,tcr,mean_latent_norm,7.850531031515575,7.835644810735101,7.865417252307019,20
