split,category,model,metric,mean,std,n_seeds,seeds,n_pairs,n_pos,n_neg,n_peptides,n_pep_n_le_2,frac_pairs_n_le_2,note
test,unseen_TCR,finetuned_esmc_meanpool,global_auprc,0.5214828431826046,0.0,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,finetuned_esmc_meanpool,pep_w_auroc,0.5385182868365402,0.0,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,finetuned_esmc_meanpool,pep_w_auroc_min2each,0.5301456613994252,0.0,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,onehot_composition,global_auroc,0.5063513849101117,0.0,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,onehot_composition,global_auprc,0.5072639429342061,0.0,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,onehot_composition,pep_w_auroc,0.5056558420450261,0.0,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,onehot_composition,pep_w_auroc_min2each,0.500641529002835,0.0,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,onehot_vicreg,global_auroc,0.7339060555264846,0.0019122599144918554,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,onehot_vicreg,global_auprc,0.7159419993903346,0.003214023281104634,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,onehot_vicreg,pep_w_auroc,0.7524178231253174,0.004682341989045176,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,onehot_vicreg,pep_w_auroc_min2each,0.7640237713181108,0.001909838577976499,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,pretrained_esmc_meanpool,global_auroc,0.5032597641410423,0.0,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,pretrained_esmc_meanpool,global_auprc,0.5044594957402835,0.0,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,pretrained_esmc_meanpool,pep_w_auroc,0.499813982758735,0.0,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,pretrained_esmc_meanpool,pep_w_auroc_min2each,0.5122762072445725,0.0,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_peptide,esm_vicreg_finetuned,global_auroc,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,esm_vicreg_finetuned,global_auprc,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,esm_vicreg_finetuned,pep_w_auroc,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,esm_vicreg_finetuned,pep_w_auroc_min2each,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,esm_vicreg_raw,global_auroc,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,esm_vicreg_raw,global_auprc,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
